                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7938,                 4.6747,                 4.1952,                      0,                      0,                      0,                      0,                 2.3916,                 5.1719,                  4.081,                 0.0748,                 0.0028,                 0.0028
                      2,                 2.7171,                 4.2373,                 4.0061,                      0,                      0,                      0,                      0,                 2.3441,                 4.8741,                 3.9429,               0.048672,              0.0056718,              0.0056718
                      3,                 2.6295,                 4.1288,                  3.721,                      0,                      0,                      0,                      0,                 2.4139,                 3.8101,                 3.6645,               0.022515,              0.0085149,              0.0085149
                      4,                 2.5348,                 3.9652,                 3.2999,                      0,                      0,                      0,                      0,                 3.0609,                 5.7613,                 5.6348,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.4122,                 3.6576,                 3.0045,                0.11905,                0.03731,                 0.0653,                0.02068,                 2.3729,                 5.2113,                 3.5291,               0.009802,               0.009802,               0.009802
                      6,                 2.2485,                 3.3246,                 2.7869,                0.01149,                0.08955,                0.00582,                0.00144,                 2.4758,                 57.599,                  3.832,              0.0097525,              0.0097525,              0.0097525
                      7,                 2.1358,                  3.108,                 2.6617,                0.03683,                0.37313,                0.03138,                0.01214,                 2.2271,                    inf,                 2.9291,               0.009703,               0.009703,               0.009703
                      8,                 2.0602,                 2.8942,                 2.5685,                0.14037,                0.17164,                 0.1031,                0.02358,                 2.3064,                   23.5,                 2.9845,              0.0096535,              0.0096535,              0.0096535
                      9,                 2.0249,                 2.7855,                 2.5183,                0.19111,                0.24627,                 0.1257,                0.04248,                 2.2277,                 22.291,                 2.9926,               0.009604,               0.009604,               0.009604
                     10,                 1.9686,                 2.6799,                 2.4636,                0.22436,                0.26119,                0.15654,                0.05995,                 2.1931,                 3.3508,                 2.8984,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.9364,                 2.5629,                 2.4204,                0.22436,                0.26119,                0.15654,                0.05995,                 2.1573,                 3.2119,                 2.8629,               0.009505,               0.009505,               0.009505
                     12,                 1.9083,                 2.4901,                 2.3616,                 0.3871,                0.08955,                0.22646,                0.09444,                   2.06,                 2.5865,                 2.7904,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.8765,                 2.3712,                 2.3196,                    0.5,                0.08209,                0.27885,                0.09875,                 2.1517,                 2.6851,                 2.6391,               0.009406,               0.009406,               0.009406
                     14,                 1.8403,                 2.3104,                 2.2942,                0.35827,                    0.5,                0.35731,                0.13536,                 1.9891,                 4.4484,                 2.6407,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.8124,                 2.2041,                 2.2584,                0.72727,                0.23881,                0.48357,                0.23383,                 1.9481,                 2.1161,                  2.565,               0.009307,               0.009307,               0.009307
                     16,                 1.7932,                 2.1247,                 2.2228,                 0.4466,                0.34328,                 0.3632,                0.18182,                 2.0162,                 2.5757,                 2.6729,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.7219,                  1.987,                 2.1745,                0.63106,                0.44776,                0.50911,                0.24809,                 1.8446,                 2.0984,                 2.3517,               0.009208,               0.009208,               0.009208
                     18,                 1.7396,                  2.045,                 2.1586,                0.83333,                0.03731,                0.43304,                0.25187,                 1.8959,                  2.342,                 2.4825,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.7243,                 1.9893,                 2.1731,                 0.5082,                0.47811,                0.49521,                0.23658,                 1.7322,                 2.6572,                  2.361,               0.009109,               0.009109,               0.009109
                     20,                 1.7197,                 1.9132,                 2.1265,                 0.4792,                0.52186,                0.52807,                0.27663,                 1.7533,                 2.2322,                 2.3831,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.6888,                 1.8504,                 2.1153,                0.72716,                 0.3806,                 0.5323,                0.27265,                 1.7415,                 2.3642,                 2.3829,                0.00901,                0.00901,                0.00901
                     22,                 1.6459,                 1.8263,                 2.0527,                0.71745,                0.47015,                0.60177,                  0.284,                 1.9464,                 2.0148,                 2.4615,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.6303,                  1.773,                 2.0513,                0.56861,                0.48507,                0.54382,                0.27579,                 1.7983,                 1.9987,                 2.5305,               0.008911,               0.008911,               0.008911
                     24,                 1.6366,                 1.7561,                 2.0548,                0.61567,                 0.6194,                0.63175,                0.33238,                 1.6598,                 2.2489,                 2.3096,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.6157,                  1.683,                 2.0108,                   0.75,                0.24627,                0.52186,                0.31556,                 2.0137,                 2.3596,                 2.5154,               0.008812,               0.008812,               0.008812
                     26,                 1.6021,                 1.7015,                 2.0069,                0.86957,                0.44776,                0.66485,                0.38675,                 1.7232,                  1.627,                 2.2808,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.6004,                 1.6938,                 2.0004,                0.59031,                 0.6344,                0.66158,                0.35727,                 1.6401,                 1.9024,                 2.2641,               0.008713,               0.008713,               0.008713
                     28,                  1.585,                 1.6347,                 1.9861,                0.71429,                0.63433,                0.68674,                0.34285,                 1.9312,                   1.73,                 2.3571,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.5811,                 1.6382,                 1.9594,                0.79787,                 0.5597,                0.70352,                0.39493,                 1.6067,                 1.5332,                 2.1473,               0.008614,               0.008614,               0.008614
                     30,                  1.576,                 1.5836,                   1.94,                0.66337,                    0.5,                0.57229,                0.26631,                 1.9644,                 1.8085,                 2.5371,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.5588,                 1.6208,                  1.937,                0.59615,                0.69403,                0.65369,                0.38771,                   1.49,                 1.5275,                 2.0181,               0.008515,               0.008515,               0.008515
                     32,                 1.5324,                 1.5524,                 1.9014,                 0.7484,                0.53278,                0.69592,                 0.3411,                 1.5773,                 1.9634,                   2.11,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.5077,                 1.5493,                  1.896,                0.65795,                0.60448,                0.63625,                0.35924,                 1.5188,                  1.441,                 2.0942,               0.008416,               0.008416,               0.008416
                     34,                 1.5286,                 1.5298,                 1.8919,                0.69318,                0.45522,                0.58743,                0.36602,                 1.5857,                 1.6087,                 2.0609,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.5383,                 1.5171,                 1.8989,                   0.75,                0.42537,                0.61498,                 0.3871,                 1.5817,                 1.5663,                  2.109,               0.008317,               0.008317,               0.008317
                     36,                 1.5083,                 1.4987,                 1.8611,                0.68948,                0.67938,                0.69737,                0.39374,                 1.5811,                 1.4387,                 2.1044,              0.0082675,              0.0082675,              0.0082675
